,condition,correct,correct_response,frequency,i_acquisition_trial,i_block,internal_node_id,key_press,rt,stage,stimulus,subject,time_elapsed,trial_index,trial_type,valence,distance,i_generalization_trial,tone,positive_key,negative_key,association
0,instrumental,1.0,q,300,0.0,0.0,0.0-1.0-1.0,81.0,572.0,acquisition,sound/300,0.0,58233.0,2.0,audio-keyboard-response,positive,,,,81.0,80.0,
1,instrumental,0.0,,500,1.0,0.0,0.0-1.0-1.1,81.0,334.0,acquisition,sound/500,0.0,61173.0,5.0,audio-keyboard-response,neutral,,,,81.0,80.0,
2,instrumental,0.0,p,700,2.0,0.0,0.0-1.0-1.2,81.0,424.0,acquisition,sound/700,0.0,64201.0,8.0,audio-keyboard-response,negative,,,,81.0,80.0,
3,instrumental,1.0,q,300,3.0,0.0,0.0-1.0-1.3,81.0,735.0,acquisition,sound/300,0.0,67542.0,11.0,audio-keyboard-response,positive,,,,81.0,80.0,
4,instrumental,0.0,,500,4.0,0.0,0.0-1.0-1.4,80.0,438.0,acquisition,sound/500,0.0,70586.0,14.0,audio-keyboard-response,neutral,,,,81.0,80.0,
5,instrumental,0.0,p,700,5.0,0.0,0.0-1.0-1.5,81.0,1310.0,acquisition,sound/700,0.0,74502.0,17.0,audio-keyboard-response,negative,,,,81.0,80.0,
6,instrumental,0.0,q,300,6.0,0.0,0.0-1.0-1.6,80.0,568.0,acquisition,sound/300,0.0,77677.0,20.0,audio-keyboard-response,positive,,,,81.0,80.0,
7,instrumental,0.0,,500,7.0,0.0,0.0-1.0-1.7,80.0,476.0,acquisition,sound/500,0.0,80759.0,23.0,audio-keyboard-response,neutral,,,,81.0,80.0,
8,pavlovian,1.0,,300,,0.0,0.0-1.0-1.8,,,acquisition,sound/300,0.0,85867.0,26.0,audio-keyboard-response,positive,,,,81.0,80.0,
9,instrumental,1.0,p,700,8.0,0.0,0.0-1.0-1.9,80,792,acquisition,sound/700,0.0,89265.0,29.0,audio-keyboard-response,negative,,,,81.0,80.0,
10,pavlovian,0.0,,700,,0.0,0.0-1.0-1.10,,,acquisition,sound/700,0.0,94372.0,32.0,audio-keyboard-response,negative,,,,81.0,80.0,
11,pavlovian,0.0,,700,,0.0,0.0-1.0-1.11,81,837,acquisition,sound/700,0.0,99481.0,35.0,audio-keyboard-response,negative,,,,81.0,80.0,
12,instrumental,1.0,q,300,9.0,0.0,0.0-1.0-1.12,81,520,acquisition,sound/300,0.0,102608.0,38.0,audio-keyboard-response,positive,,,,81.0,80.0,
13,instrumental,1.0,p,700,10.0,0.0,0.0-1.0-1.13,80,489,acquisition,sound/700,0.0,105704.0,41.0,audio-keyboard-response,negative,,,,81.0,80.0,
14,instrumental,1.0,p,700,11.0,0.0,0.0-1.0-1.14,80,622,acquisition,sound/700,0.0,108930.0,44.0,audio-keyboard-response,negative,,,,81.0,80.0,
15,instrumental,0.0,p,700,12.0,0.0,0.0-1.0-1.15,81,468,acquisition,sound/700,0.0,112006.0,47.0,audio-keyboard-response,negative,,,,81.0,80.0,
16,instrumental,1.0,q,300,13.0,0.0,0.0-1.0-1.16,81,531,acquisition,sound/300,0.0,115142.0,50.0,audio-keyboard-response,positive,,,,81.0,80.0,
17,instrumental,1.0,q,300,14.0,0.0,0.0-1.0-1.17,81,478,acquisition,sound/300,0.0,118226.0,53.0,audio-keyboard-response,positive,,,,81.0,80.0,
18,instrumental,0.0,,500,15.0,0.0,0.0-1.0-1.18,80,789,acquisition,sound/500,0.0,121633.0,56.0,audio-keyboard-response,neutral,,,,81.0,80.0,
19,pavlovian,1.0,,300,,0.0,0.0-1.0-1.19,,,acquisition,sound/300,0.0,126741.0,59.0,audio-keyboard-response,positive,,,,81.0,80.0,
20,instrumental,0.0,,500,16.0,0.0,0.0-1.0-1.20,80,654,acquisition,sound/500,0.0,130001.0,62.0,audio-keyboard-response,neutral,,,,81.0,80.0,
21,instrumental,0.0,,500,17.0,0.0,0.0-1.0-1.21,80,491,acquisition,sound/500,0.0,133095.0,65.0,audio-keyboard-response,neutral,,,,81.0,80.0,
22,instrumental,0.0,,500,18.0,0.0,0.0-1.0-1.22,81,721,acquisition,sound/500,0.0,136423.0,68.0,audio-keyboard-response,neutral,,,,81.0,80.0,
23,instrumental,0.0,,500,19.0,0.0,0.0-1.0-1.23,80,451,acquisition,sound/500,0.0,139483.0,71.0,audio-keyboard-response,neutral,,,,81.0,80.0,
24,instrumental,1.0,p,700,20.0,0.0,0.0-1.0-1.24,80,575,acquisition,sound/700,0.0,142664.0,74.0,audio-keyboard-response,negative,,,,81.0,80.0,
25,instrumental,0.0,,500,21.0,0.0,0.0-1.0-1.25,80,718,acquisition,sound/500,0.0,145990.0,77.0,audio-keyboard-response,neutral,,,,81.0,80.0,
26,instrumental,1.0,p,700,22.0,0.0,0.0-1.0-1.26,80,476,acquisition,sound/700,0.0,149070.0,80.0,audio-keyboard-response,negative,,,,81.0,80.0,
27,instrumental,1.0,q,300,23.0,0.0,0.0-1.0-1.27,81,464,acquisition,sound/300,0.0,152139.0,83.0,audio-keyboard-response,positive,,,,81.0,80.0,
28,instrumental,0.0,q,300,24.0,0.0,0.0-1.0-1.28,80,411,acquisition,sound/300,0.0,155156.0,86.0,audio-keyboard-response,positive,,,,81.0,80.0,
29,instrumental,1.0,p,700,25.0,0.0,0.0-1.0-1.29,80,503,acquisition,sound/700,0.0,158264.0,89.0,audio-keyboard-response,negative,,,,81.0,80.0,
30,pavlovian,1.0,,300,,0.0,0.0-1.0-1.30,,,acquisition,sound/300,0.0,163367.0,92.0,audio-keyboard-response,positive,,,,81.0,80.0,
31,pavlovian,0.0,,700,,0.0,0.0-1.0-1.31,,,acquisition,sound/700,0.0,168475.0,95.0,audio-keyboard-response,negative,,,,81.0,80.0,
32,instrumental,1.0,q,300,26.0,0.0,0.0-1.0-1.32,81,549,acquisition,sound/300,0.0,171626.0,98.0,audio-keyboard-response,positive,,,,81.0,80.0,
33,,0.0,space,,,0.0,0.0-4.0-1.0,80,642,generalization,sound/320,0.0,205252.0,103.0,audio-keyboard-response,positive,20.0,0.0,320.0,81.0,80.0,
34,,0.0,space,,,0.0,0.0-4.0-1.1,80,553,generalization,sound/695,0.0,207312.0,106.0,audio-keyboard-response,negative,-5.0,1.0,695.0,81.0,80.0,
35,,1.0,p,,,0.0,0.0-4.0-1.2,80,436,generalization,sound/700,0.0,209252.0,109.0,audio-keyboard-response,negative,0.0,2.0,,81.0,80.0,
36,,1.0,q,,,0.0,0.0-4.0-1.3,81,381,generalization,sound/300,0.0,211137.0,112.0,audio-keyboard-response,positive,0.0,3.0,,81.0,80.0,
37,,1.0,space,,,0.0,0.0-4.0-1.4,32,955,generalization,sound/480,0.0,213597.0,115.0,audio-keyboard-response,control,,4.0,,81.0,80.0,
38,,1.0,space,,,0.0,0.0-4.0-1.5,32,854,generalization,sound/680,0.0,215954.0,118.0,audio-keyboard-response,negative,-20,5.0,680.0,81.0,80.0,
39,,0.0,space,,,0.0,0.0-4.0-1.6,81,572,generalization,sound/360,0.0,218031.0,121.0,audio-keyboard-response,positive,60,6.0,360.0,81.0,80.0,
40,,0.0,space,,,0.0,0.0-4.0-1.7,80,494,generalization,sound/760,0.0,220031.0,124.0,audio-keyboard-response,negative,60,7.0,760.0,81.0,80.0,
41,,0.0,p,,,0.0,0.0-4.0-1.8,32,794,generalization,sound/700,0.0,222327.0,127.0,audio-keyboard-response,negative,0,8.0,,81.0,80.0,
42,,0.0,space,,,0.0,0.0-4.0-1.9,81,648,generalization,sound/600,0.0,224478.0,130.0,audio-keyboard-response,negative,-100,9.0,600.0,81.0,80.0,
43,,0.0,space,,,0.0,0.0-4.0-1.10,80,724,generalization,sound/705,0.0,226706.0,133.0,audio-keyboard-response,negative,5,10.0,705.0,81.0,80.0,
44,,0.0,space,,,0.0,0.0-4.0-1.11,80,459,generalization,sound/720,0.0,228667.0,136.0,audio-keyboard-response,negative,20,11.0,720.0,81.0,80.0,
45,,0.0,space,,,0.0,0.0-4.0-1.12,81,396,generalization,sound/280,0.0,230566.0,139.0,audio-keyboard-response,positive,-20,12.0,280.0,81.0,80.0,
